TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0310-0436	MODELGEN	1000	CompanyToIT	1.18016724E9	1.599383179E9	3	3
0311-0428	MODELGEN	1000	CompanyToIT	1.187236042E9	1.601990896E9	4	4
0311-0003	MODELGEN	1000	CompanyToIT	1.219720891E9	1.606750899E9	6	5
0306-0227	MODELGEN	1000	CompanyToIT	1.247840872E9	1.611855149E9	7	6
0309-1931	MODELGEN	1000	CompanyToIT	1.210492533E9	1.612969992E9	5	7
0303-0631	MODELGEN	1000	CompanyToIT	1.288821968E9	1.646284452E9	8	8
0311-0428	BWD_OPT	1000	BlockDiagramCodeAdapter	1.7789265E9	2.16129144E9	5	1
0308-0220	BWD_OPT	1000	BlockDiagramCodeAdapter	1.528763143E9	2.169053867E9	1	2
0306-0227	BWD_OPT	1000	BlockDiagramCodeAdapter	1.826392678E9	2.186920448E9	6	3
0309-1931	BWD_OPT	1000	BlockDiagramCodeAdapter	1.56645188E9	2.193523129E9	2	4
0311-2111	BWD_OPT	1000	BlockDiagramCodeAdapter	1.943937935E9	2.198278E9	8	5
0311-0003	BWD_OPT	1000	BlockDiagramCodeAdapter	1.847310434E9	2.19952199E9	7	6
0303-0631	BWD_OPT	1000	BlockDiagramCodeAdapter	1.758402596E9	2.224053687E9	3	7
0310-0436	BWD_OPT	1000	BlockDiagramCodeAdapter	1.769199947E9	2.257561866E9	4	8
0308-0220	FWD	4000	BlockDiagramCodeAdapter	1.34981104957E11	3.218641541E9	8	1
0309-1931	FWD	4000	BlockDiagramCodeAdapter	8.502208862E10	3.22134291E9	7	2
0310-0436	FWD	4000	BlockDiagramCodeAdapter	8.0300474162E10	3.23702941E9	5	3
0311-0003	FWD	4000	BlockDiagramCodeAdapter	7.6046272222E10	3.253446736E9	2	4
0306-0227	FWD	4000	BlockDiagramCodeAdapter	7.8531131385E10	3.259629481E9	3	5
0311-0428	FWD	4000	BlockDiagramCodeAdapter	7.5120763208E10	3.271728551E9	1	6
0311-2111	FWD	4000	BlockDiagramCodeAdapter	7.8783630054E10	3.286180041E9	4	7
0303-0631	FWD	4000	BlockDiagramCodeAdapter	8.0779590617E10	3.324501677E9	6	8
0311-0428	CC	1000	FeatureModelConciseToSafe	2.454833641E9	1.991211677E9	2	1
0311-2111	CC	1000	FeatureModelConciseToSafe	2.649912933E9	2.004121117E9	7	2
0308-0220	CC	1000	FeatureModelConciseToSafe	2.178792821E9	2.055822162E9	1	3
0306-0227	CC	1000	FeatureModelConciseToSafe	2.522990929E9	2.077466042E9	5	4
0310-0436	CC	1000	FeatureModelConciseToSafe	2.467769166E9	2.079284345E9	4	5
0303-0631	CC	1000	FeatureModelConciseToSafe	2.630027061E9	2.080226852E9	6	6
0311-0003	CC	1000	FeatureModelConciseToSafe	2.760961563E9	2.081192879E9	8	7
0309-1931	CC	1000	FeatureModelConciseToSafe	2.457370371E9	2.091672924E9	3	8
0308-0220	MODELGEN	2000	CompanyToIT	1.620137579E9	1.584784583E9	1	1
0311-0428	MODELGEN	2000	CompanyToIT	1.716228398E9	1.587768618E9	2	2
0306-0227	MODELGEN	2000	CompanyToIT	1.811955728E9	1.60014608E9	8	3
0310-0436	MODELGEN	2000	CompanyToIT	1.762501048E9	1.604368546E9	5	4
0303-0631	MODELGEN	2000	CompanyToIT	1.762740523E9	1.605958919E9	6	5
0311-0003	MODELGEN	2000	CompanyToIT	1.743086428E9	1.613177822E9	3	6
0311-2111	MODELGEN	2000	CompanyToIT	1.754773259E9	1.616509525E9	4	7
0309-1931	MODELGEN	2000	CompanyToIT	1.784320685E9	1.629377484E9	7	8
0310-0436	INCREMENTAL_BWD	8000	FamiliesToPersons_V0	3400124.0	3.213088703E9	3	1
0311-0428	INCREMENTAL_BWD	8000	FamiliesToPersons_V0	1.0254682E7	3.251953008E9	6	2
0309-1931	INCREMENTAL_BWD	8000	FamiliesToPersons_V0	3323578.0	3.259901028E9	1	3
